title,link,published,summary,processed_on
Key milestone will mark new growth chapter amid online qcomm boom Shiprocket CEO on upcoming IPO,https://economictimes.indiatimes.com/markets/ipos/fpos/key-milestone-will-mark-new-growth-chapter-amid-online-qcomm-boom-shiprocket-ceo-on-upcoming-ipo/articleshow/125518706.cms,"Sun, 23 Nov 2025 16:12:35 +0530","Goel told PTI in an interview said the IPO will be an important milestone as it ""institutionalises"" the company that has evolved from being a shipping partner to an end-to-end e-commerce enablement platform for Indian merchants",2025-11-23
Berkshires unusually modern bet on Alphabet forces a fresh look at Warren Buffetts playbook,https://economictimes.indiatimes.com/markets/stocks/news/berkshires-unusually-modern-bet-on-alphabet-forces-a-fresh-look-at-warren-buffetts-playbook/articleshow/125518300.cms,"Sun, 23 Nov 2025 15:38:01 +0530","Berkshire Hathaway’s Alphabet stake has surged $415 million in just a week, reaching nearly $5.35 billion as shares climbed 8.4%. The move has reignited debate over whether the traditionally cautious firm is warming to high-risk, AI-driven growth. Alphabet’s rally was boosted by Berkshire’s disclosure and positive reception of Google’s new Gemini 3 AI model, even as other tech stocks lagged.",2025-11-23
Robert Kiyosaki says the crash is here and his pick to survive it is silver,https://economictimes.indiatimes.com/markets/stocks/news/robert-kiyosaki-says-the-crash-is-here-and-his-pick-to-survive-it-is-silver/articleshow/125518246.cms,"Sun, 23 Nov 2025 15:31:57 +0530","Robert Kiyosaki, author of Rich Dad Poor Dad, has warned that the “biggest crash in history” has begun, affecting the U.S., Europe, and Asia. He advised investors to seek refuge in gold, silver, Bitcoin, and Ethereum, highlighting silver as his top pick. Kiyosaki said the crash he predicted in 2013 has now arrived.",2025-11-23
20 crore Demat accounts and counting Inside Indias retail investing transformation,https://economictimes.indiatimes.com/markets/stocks/news/20-crore-demat-accounts-and-counting-inside-indias-retail-investing-transformation/articleshow/125517942.cms,"Sun, 23 Nov 2025 14:50:24 +0530","In 2025, India’s retail investing landscape transformed dramatically, with demat accounts nearing 21 crore and monthly SIP contributions crossing Rs. 29,500 crore. Technology, geographic expansion, and domestic investor confidence drove participation, even amid foreign outflows and market volatility. Despite derivative losses and global uncertainties, regulatory reforms and increased financial literacy strengthened the ecosystem, marking a pivotal year for long-term wealth creation and the ""Equitization of Savings""",2025-11-23
Global oil prices under pressure Whats driving the decline and what lies ahead,https://economictimes.indiatimes.com/markets/stocks/news/global-oil-prices-under-pressure-whats-driving-the-decline-and-what-lies-ahead/articleshow/125517638.cms,"Sun, 23 Nov 2025 14:14:04 +0530","Global oil markets have entered a bearish phase, with U.S. crude sliding below $60 per barrel, down over 20% from January highs. Surging U.S. output, gradual unwinding of OPEC+ cuts, and tepid demand—especially in China—have created persistent oversupply. With inventories at multi-year highs, near-term prices are expected to remain under pressure, while structural factors cap any sustained rallies in 2026.Global oil markets have entered a bearish phase, with U.S. crude sliding below $60 per barrel, down over 20% from January highs. Surging U.S. output, gradual unwinding of OPEC+ cuts, and tepid demand—especially in China—have created persistent oversupply. With inventories at multi-year highs, near-term prices are expected to remain under pressure, while structural factors cap any sustained rallies in 2026",2025-11-23
Nifty near resistance Bank Nifty losing momentum Rupak Des gameplan and top stock picks,https://economictimes.indiatimes.com/markets/expert-view/nifty-near-resistance-bank-nifty-losing-momentum-rupak-des-gameplan-and-top-stock-picks/articleshow/125517562.cms,"Sun, 23 Nov 2025 14:00:52 +0530","Nifty faces resistance near 26,200, with range-bound action expected into the November expiry, while Bank Nifty shows signs of fatigue. PSU Bank may weaken after a bearish setup, and news-driven stocks like JP Power remain unpredictable. Key trading ideas include selling Hindalco and Bajaj Finance, and buying Five-Star. Short-term volatility offers selective opportunities for technical traders.",2025-11-23
Mcap of 7 of top10 most valued firms surges Rs 128 lakh cr RIL Airtel biggest gainers,https://economictimes.indiatimes.com/markets/stocks/news/mcap-of-7-of-top-10-most-valued-firms-surges-rs-1-28-lakh-cr-ril-airtel-biggest-gainers/articleshow/125517544.cms,"Sun, 23 Nov 2025 13:53:05 +0530","While Reliance Industries, HDFC Bank, Bharti Airtel, Tata Consultancy Services (TCS), State Bank of India, Infosys and Hindustan Unilever were the gainers, Bajaj Finance, Life Insurance Corporation of India (LIC) and ICICI Bank faced erosion in their valuation",2025-11-23
Market Trading Guide Buy RIL Max Financial amp 2 other stocks on Monday for up to 10 nearterm gains,https://economictimes.indiatimes.com/markets/stocks/news/market-trading-guide-buy-ril-max-financial-amp-2-other-stocks-on-monday-for-up-to-10-near-term-gains/slideshow/125517236.cms,"Sun, 23 Nov 2025 13:03:53 +0530","Selling pressure was broad-based, with financials, metals, and realty stocks hit the hardest.",2025-11-23
Nifty below fair value but big opportunities ahead Nimesh Chandan lists sectors to watch,https://economictimes.indiatimes.com/markets/expert-view/nifty-below-fair-value-but-big-opportunities-ahead-nimesh-chandan-lists-sectors-to-watch/articleshow/125516680.cms,"Sun, 23 Nov 2025 12:19:06 +0530","Despite muted 2025 returns, markets showed interest in niche themes like data centers, PEBs, and semiconductors. Strong drivers include financialization, digitalization, rising affluence, and healthcare demand. With Nifty trading below intrinsic value and earnings growth expected in double digits for FY26–27, selective stock picking across BFSI, consumption, healthcare, and platform businesses offers long-term opportunities, while short-term volatility may present buying windows.",2025-11-23
Nifty eyes alltime high as rupee crashes to lifetime low Can bulls survive the currency storm,https://economictimes.indiatimes.com/markets/stocks/news/nifty-eyes-all-time-high-as-rupee-crashes-to-lifetime-low-can-bulls-survive-the-currency-storm/articleshow/125516469.cms,"Sun, 23 Nov 2025 11:56:00 +0530","India’s equity market faces a critical juncture as the Nifty nears its record high, just 210 points away, while the rupee plunges to a lifetime low near 89.5. Friday saw foreign investors turn net sellers and forex volatility spike, with the steepest daily rupee fall since May. The coming sessions will test the resilience of India’s equity rally.",2025-11-23
